Date,Method,Window,Mode,Hub_ticker,Hub_degree,Hub_tied,Hub_sector,N_nodes,Is_dominant_hub
2020-01-14,symbolic,240,strict,GAPB.MX,9,False,Airports,35,True
2020-01-15,symbolic,240,strict,GAPB.MX,9,False,Airports,35,True
2020-01-16,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-01-17,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-01-20,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-01-21,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-01-22,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-01-23,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-01-24,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-01-27,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-01-28,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-01-29,symbolic,240,strict,GAPB.MX,8,False,Airports,35,True
2020-01-30,symbolic,240,strict,GAPB.MX,9,False,Airports,35,True
2020-01-31,symbolic,240,strict,GAPB.MX,9,False,Airports,35,True
2020-02-04,symbolic,240,strict,GAPB.MX,9,False,Airports,35,True
2020-02-05,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-02-06,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-02-07,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-02-10,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-02-11,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-02-12,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2020-02-13,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2020-02-14,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-02-17,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-02-18,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-02-19,symbolic,240,strict,GAPB.MX,7,False,Airports,35,True
2020-02-20,symbolic,240,strict,GAPB.MX,6,True,Airports,35,True
2020-02-21,symbolic,240,strict,GAPB.MX,6,True,Airports,35,True
2020-02-24,symbolic,240,strict,GAPB.MX,6,True,Airports,35,True
2020-02-25,symbolic,240,strict,GAPB.MX,6,True,Airports,35,True
2020-02-26,symbolic,240,strict,GAPB.MX,6,True,Airports,35,True
2020-02-27,symbolic,240,strict,GAPB.MX,6,True,Airports,35,True
2020-02-28,symbolic,240,strict,GAPB.MX,6,True,Airports,35,True
2020-03-02,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2020-03-03,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2020-03-04,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2020-03-05,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2020-03-06,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2020-03-09,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2020-03-10,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2020-03-11,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2020-03-12,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2020-03-13,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2020-03-17,symbolic,240,strict,GAPB.MX,6,False,Airports,35,True
2020-03-18,symbolic,240,strict,GFINBURO.MX,6,False,Financial,35,False
2020-03-19,symbolic,240,strict,GFINBURO.MX,6,False,Financial,35,False
2020-03-20,symbolic,240,strict,GFINBURO.MX,6,False,Financial,35,False
2020-03-23,symbolic,240,strict,GFINBURO.MX,6,False,Financial,35,False
2020-03-24,symbolic,240,strict,GFINBURO.MX,6,True,Financial,35,False
2020-03-25,symbolic,240,strict,GFNORTEO.MX,7,False,Financial,35,False
2020-03-26,symbolic,240,strict,GFNORTEO.MX,7,False,Financial,35,False
